LP,Ebene3_ID,Ebene2_ID,Ebene1_ID,Bezeichnung,Ebene3_Name,Ebene2_Name,Ebene1_Name,Kapitel/Titel
A10000,A100,A1,A,Grundfinanzierung MPG,Grundfinanzierung MPG,Grundfinanzierung MPG,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300389440
A20000,A200,A2,A,Grundfinanzierung DFG,Grundfinanzierung DFG,Grundfinanzierung DFG,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300389430
A30000,A300,A3,A,Grundfinanzierung FhG,Grundfinanzierung FhG,Grundfinanzierung FhG,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300489460
A40000,A300,A4,A,Umstrukturierung der Forschung im Beitrittsgebiet,Grundfinanzierung FhG,Umstrukturierung der Forschung im Beitrittsgebiet,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300489460
A50000,A500,A5,A,Aus- und Neubau von Hochschulen,Aus- und Neubau von Hochschulen,Aus- und Neubau von Hochschulen,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300388207
A61000,A500,A6,A,Hochschulsonderprogramm I (HSP I),Aus- und Neubau von Hochschulen,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300388207
A62000,A500,A6,A,Hochschulsonderprogramm II (HSP II),Aus- und Neubau von Hochschulen,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300388207
A63000,A500,A6,A,Hochschulerneuerungsprogramm (HEP),Aus- und Neubau von Hochschulen,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300388207
A64000,A500,A6,A,Hochschulsonderprogramm III (HSP III),Aus- und Neubau von Hochschulen,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300388207
A65000,A650,A6,A,DFG - Sonderprogramme,DFG - Sonderprogramme,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300388207
A66010,A660,A6,A,Hochschulpakt 2020,Hochschulpakt 2020,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300368505
A66091,A660,A6,A,"Projektbegleiter und externe Einzelgutachter (PB,RE)",Hochschulpakt 2020,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300368505
A67000,A670,A6,A,Qualitätspakt Lehre,Qualitätspakt Lehre,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300368515
A67090,A670,A6,A,Projektstabskosten,Qualitätspakt Lehre,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300368515
A67092,A670,A6,A,Beratungsgremien (SK),Qualitätspakt Lehre,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300368515
A70000,A700,A7,A,Förderung von Spitzenuniversitäten,Förderung von Spitzenuniversitäten,Förderung von Spitzenuniversitäten,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300368504
B01011,B010,B0,B,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,Struktur und Wechselwirkung fundamentaler Teilchen,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B01012,B010,B0,B,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten bei DESY,Struktur und Wechselwirkung fundamentaler Teilchen,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B01013,B010,B0,B,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,Struktur und Wechselwirkung fundamentaler Teilchen,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B01014,B010,B0,B,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten an anderen Zentren,Struktur und Wechselwirkung fundamentaler Teilchen,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B01019,B010,B0,B,Struktur und Wechselwirkung fundamentaler Teilchen - Sonstiges,Struktur und Wechselwirkung fundamentaler Teilchen,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02021,B020,B0,B,Hadronen- und Kernphysik - Aktivitäten beim CERN,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02022,B020,B0,B,Hadronen- und Kernphysik - Aktivitäten bei SIN/PSI,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02023,B020,B0,B,Hadronen- und Kernphysik - Aktivitäten an anderen internationalen Beschleunigern,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02024,B020,B0,B,Hadronen- und Kernphysik - Anwendungen kernphysikalischer Methoden,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02025,B020,B0,B,Hadronen- und Kernphysik - Aktivitäten an COSY,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02032,B020,B0,B,Hadronen- und Kernphysik - Aktivitäten bei GSI,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02033,B020,B0,B,Hadronen- und Kernphysik - Aktivitäten beim ILL,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02034,B020,B0,B,Hadronen- und Kernphysik - hoch-dichte Materie,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02035,B020,B0,B,Hadronen- und Kernphysik - Aktivitäten an mehreren Beschleunigern,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02036,B020,B0,B,Hadronen- und Kernphysik - Aktivitäten am FRM-II,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02039,B020,B0,B,Hadronen- und Kernphysik - Sonstiges,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B03041,B030,B0,B,Atom- und Molekülphysik - Synchrotronstrahlung,Kondensierte Materie,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B03042,B030,B0,B,Atom- und Molekülphysik - Teilchenstrahlen,Kondensierte Materie,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B03049,B030,B0,B,Atom- und Molekülphysik - Sonstiges,Kondensierte Materie,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B03051,B030,B0,B,Erforschung kondensierter Materie - Neutronenstreuung,Kondensierte Materie,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B03052,B030,B0,B,Erforschung kondensierter Materie - Synchrotronstrahlen,Kondensierte Materie,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B03053,B030,B0,B,Erforschung kondensierter Materie - Teilchenstrahlen,Kondensierte Materie,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B03054,B030,B0,B,Erforschung kondensierter Materie - mit anderen Methoden,Kondensierte Materie,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B03059,B030,B0,B,Erforschung kondensierter Materie - Sonstiges,Kondensierte Materie,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B03060,B030,B0,B,Nuklearchemie (abgeschlossen),Kondensierte Materie,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B04065,B040,B0,B,Ausgewählte Gebiete der Mathematik,Mathematik und Astrophysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B04066,B040,B0,B,Ausgewählte Gebiete der Astrophysik,Mathematik und Astrophysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B04067,B040,B0,B,Ausgewählte Gebiete der Teilchen-Astrophysik,Mathematik und Astrophysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B05071,B050,B0,B,Apparative Entwicklung - Lichtquellen,Apparative Entwicklung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B05072,B050,B0,B,Apparative Entwicklung - Teilchenquellen,Apparative Entwicklung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B05073,B050,B0,B,Apparative Entwicklung - Beschleunigertechnologie,Apparative Entwicklung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B05079,B050,B0,B,Apparative Entwicklung - Sonstiges,Apparative Entwicklung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B06003,B060,B0,B,"SNQ,ESS",Einzelne Großgeräte-Investitionen der Grundlagenforschung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B06004,B060,B0,B,Forschungsreaktor München II (FRM II),Einzelne Großgeräte-Investitionen der Grundlagenforschung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B06005,B060,B0,B,BESSY,Einzelne Großgeräte-Investitionen der Grundlagenforschung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B06099,B060,B0,B,Sonstiges im Rahmen der Großgeräte der Grundlagenforschung,Einzelne Großgeräte-Investitionen der Grundlagenforschung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B07080,B070,B0,B,Sonstiges im Rahmen der Forschung an Großgeräten der Grundlagenforschung,Sonstiges und Querschnittsaktivitäten der naturwissenschaftlichen Grundlagenforschung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B07085,B070,B0,B,Zusammenarbeit mit dem Vereinigten Institut für Kernforschung (VIK) in Dubna,Sonstiges und Querschnittsaktivitäten der naturwissenschaftlichen Grundlagenforschung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B07088,B070,B0,B,Untersuchungen Plasmaphysik (abgeschlossen),Sonstiges und Querschnittsaktivitäten der naturwissenschaftlichen Grundlagenforschung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B07090,B070,B0,B,Projektstabskosten,Sonstiges und Querschnittsaktivitäten der naturwissenschaftlichen Grundlagenforschung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B07091,B070,B0,B,"Projektbegleiter und externe Einzelgutachter (PB,RE)",Sonstiges und Querschnittsaktivitäten der naturwissenschaftlichen Grundlagenforschung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B07092,B070,B0,B,Beratungsgremien (SK),Sonstiges und Querschnittsaktivitäten der naturwissenschaftlichen Grundlagenforschung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B08000,B080,B0,B,Anwendung naturwissenschaftlicher Methoden in den Geisteswissenschaften,Anwendung naturwissenschaftlicher Methoden in den Geisteswissenschaften,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300468550
B08500,B085,B0,B,Fusionsforschung,Fusionsforschung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300468550
B09010,B090,B0,B,Europäische Organisation für Astronomische Forschung in der südlichen Hemisphäre (ESO) - Beitrag und Leistungen,Internationale und institutionelle Förderung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300368770
B09030,B090,B0,B,Institut Max von Laue-Paul Langevin (ILL) (Höchstfluß-Forschungsreaktor) - Beitrag,Internationale und institutionelle Förderung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300368770
B09050,B090,B0,B,Kiepenheuer-Institut für Sonnenphysik (KIS) - institutionelle Förderung,Internationale und institutionelle Förderung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300368770
B09053,B090,B0,B,Astrophysikalisches Institut Potsdam (AIP) - institutionelle Förderung,Internationale und institutionelle Förderung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300368770
B09056,B090,B0,B,Weierstraß-Institut für angewandte Analysis und Stochastik (WIAS) im Forschungsverbund Berlin e.V. - institutionelle Förderung,Internationale und institutionelle Förderung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300368770
B09060,B090,B0,B,Institut für Spektrochemie und angewandte Spektroskopie (ISAS) - institutionelle Förderung,Internationale und institutionelle Förderung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300368770
B09065,B090,B0,B,Berliner Elektronenspeicherring-Gesellschaft für Synchrotronstrahlung mbH (BESSY),Internationale und institutionelle Förderung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300368770
B09070,B090,B0,B,Europäische Synchrotronstrahlungsanlage (ESRF) - Beitrag und Leistungen,Internationale und institutionelle Förderung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300368770
B09080,B090,B0,B,Europäischer Transschall-Windkanal (ETW),Internationale und institutionelle Förderung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300368770
B09099,B090,B0,B,Sonstige Förderung,Internationale und institutionelle Förderung,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300368770
C11010,C110,C1,C,Globale Systemforschung (z.B. im Rahmen des WCRP und IGBP),Klimafaktor Ozean/Polargebiete,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C11020,C110,C1,C,Wirkungsforschung (z.B. Ozean/Atmosphäre-Wechselwirkung),Klimafaktor Ozean/Polargebiete,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C12010,C120,C1,C,"Regionale Systemforschung (Ostsee, Nordsee, Tiefsee, Polarregionen usw.)",Marine und polare Ökosystemforschung,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C12020,C120,C1,C,Wirkungsforschung (z.B. Schadstoffflüsse und - wirkungen),Marine und polare Ökosystemforschung,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C13010,C130,C1,C,Identifizierung und Untersuchung mariner Naturstoffe,Marine Ressourcen einschl. Naturstoffforschung,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C13020,C130,C1,C,Andere marine Ressourcen,Marine Ressourcen einschl. Naturstoffforschung,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C14010,C140,C1,C,"Technik-/Infrastrukturentwicklung und -bereitstellung (Überwachungssysteme, Begleitforschung zum Monitoring, innovative Technik und Geräteträger)",Meeresforschungstechnik,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C15010,C150,C1,C,"Begleitforschung, Infrastrukturentwicklung",Integriertes Küstenzonenmanagement,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C16010,C160,C1,C,Bau eines mittelgroßen Schiffes,Infrastruktur,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C16020,C160,C1,C,Gerätepool der Meeresforschung,Infrastruktur,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C16030,C160,C1,C,"Große, mittelgroße Forschungsschiffe; Schiffspool",Infrastruktur,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C17010,C170,C1,C,Marine Aquakultur,Marine Aquakultur,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C18010,C180,C1,C,Erfassung und Vorhersage der Naturbedingungen im Küstenbereich,Küsteningenieurwesen,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C18020,C180,C1,C,Wechselwirkungen Meer / Küstenbauwerk,Küsteningenieurwesen,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C18090,C180,C1,C,Projektstabskosten,Küsteningenieurwesen,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C18091,C180,C1,C,"Projektbegleiter und externe Einzelgutachter (PB,RE)",Küsteningenieurwesen,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C18099,C180,C1,C,Sonstiges,Küsteningenieurwesen,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,300489440
C19090,C190,C1,C,Projektstabskosten,Querschnittsaufgaben im Rahmen der Meeres- und Polarforschung,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,3014
C19091,C190,C1,C,"Projektbegleiter und externe Einzelgutachter (PB,RE)",Querschnittsaufgaben im Rahmen der Meeres- und Polarforschung,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,3014
C19092,C190,C1,C,Beratungsgremien (SK),Querschnittsaufgaben im Rahmen der Meeres- und Polarforschung,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,3014
C19093,C190,C1,C,Institutionelle Förderung,Querschnittsaufgaben im Rahmen der Meeres- und Polarforschung,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,3014
C19099,C190,C1,C,Sonstiges im Rahmen der Meeres- und Polarforschung,Querschnittsaufgaben im Rahmen der Meeres- und Polarforschung,Meeres- und Polarforschung,Meeres- und Polarforschung; Meerestechnik,3014
C21010,C210,C2,C,Marine Rohstoffe - Prospektion und Exploration (abgeschlossen),Marine Rohstoffe (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C21020,C210,C2,C,Marine Rohstoffe - Fördertechnik (abgeschlossen),Marine Rohstoffe (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C22010,C220,C2,C,Offshore-Technik für Kohlenwasserstoffe - Grundlagen (abgeschlossen),Offshore-Technik für Kohlenwasserstoffe (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C22020,C220,C2,C,Offshore-Technik für Kohlenwasserstoffe - Prospektion und Exploration (abgeschlossen),Offshore-Technik für Kohlenwasserstoffe (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C22030,C220,C2,C,Offshore-Technik für Kohlenwasserstoffe - Produktionstechnik (abgeschlossen),Offshore-Technik für Kohlenwasserstoffe (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C22040,C220,C2,C,"Transport- und Lagertechnik -Rohrleitung, Seetransport, Speicher-",Offshore-Technik für Kohlenwasserstoffe (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C22050,C220,C2,C,"Prozeßanlagen, Energieumwandlung Offshore (abgeschlossen)",Offshore-Technik für Kohlenwasserstoffe (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C22060,C220,C2,C,"Service-Einrichtungen -Versorgungsschiffe, Überwachung- (abgeschlossen)",Offshore-Technik für Kohlenwasserstoffe (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C22070,C220,C2,C,Unterwasser-Technik (abgeschlossen),Offshore-Technik für Kohlenwasserstoffe (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C23010,C230,C2,C,Grundlagen der Schiffstechnik (abgeschlossen),Schiffstechnik (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C23020,C230,C2,C,"Seegehende Transportsysteme, Spezialschiffe (abgeschlossen)",Schiffstechnik (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C23030,C230,C2,C,Marine Eisbrechtechnik (abgeschlossen),Schiffstechnik (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C23040,C230,C2,C,Schiffsantriebe (abgeschlossen),Schiffstechnik (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C23050,C230,C2,C,Schiffsbetriebstechnik (abgeschlossen),Schiffstechnik (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C23060,C230,C2,C,Schiffsfertigungstechnik (abgeschlossen),Schiffstechnik (abgeschlossen),Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C24010,C240,C2,C,Verbesserung des Verkehrsträgers Schiff,Schiffs- und Schiffsfertigungstechnik,Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C24020,C240,C2,C,Fertigungstechnik,Schiffs- und Schiffsfertigungstechnik,Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C24030,C240,C2,C,Transportverlagerung,Schiffs- und Schiffsfertigungstechnik,Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C24040,C240,C2,C,Binnenschifffahrt,Schiffs- und Schiffsfertigungstechnik,Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C25000,C250,C2,C,Meerestechnik,Meerestechnik,Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C29010,C290,C2,C,Erfassung und Vorhersage der Naturbedingungen im Küstenbereich,übrige und Querschnittsaktivitäten Meerestechnik,Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C29020,C290,C2,C,Wechselwirkungen Meer/Küstenbauwerk,übrige und Querschnittsaktivitäten Meerestechnik,Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C29090,C290,C2,C,Projektstabskosten,übrige und Querschnittsaktivitäten Meerestechnik,Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C29091,C290,C2,C,"Projektbegleiter und externe Einzelgutachter (PB,RE)",übrige und Querschnittsaktivitäten Meerestechnik,Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
C29099,C290,C2,C,Sonstiges im Rahmen der Meerestechnik,übrige und Querschnittsaktivitäten Meerestechnik,Schiffs- und Meerestechnik,Meeres- und Polarforschung; Meerestechnik,090268312
D11010,D110,D1,D,Atmosphärenphysik,Erforschung des Weltraums,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D11020,D110,D1,D,Erforschung des Sonnensystems,Erforschung des Weltraums,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D11030,D110,D1,D,Astronomie und Astrophysik,Erforschung des Weltraums,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D11040,D110,D1,D,Technologieentwicklungen für extraterrestrische Missionen,Erforschung des Weltraums,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D11050,D110,D1,D,Startvorbereitungen und -gebühren im Rahmen der Erforschung des Weltraums,Erforschung des Weltraums,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D11060,D110,D1,D,Übergreifendes und Sonstiges im Rahmen der Erforschung des Weltraums,Erforschung des Weltraums,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D11080,D110,D1,D,Studien im Rahmen der Erforschung des Weltraums,Erforschung des Weltraums,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D11091,D110,D1,D,"Projektbegleiter und externe Einzelgutachter (PB,RE)",Erforschung des Weltraums,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D11092,D110,D1,D,Beratungsgremien (SK),Erforschung des Weltraums,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D12011,D120,D1,D,Forschungsvorhaben - anwendungsorientierte Grundlagenforschung (Signaturen),Erdbeobachtung,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D12012,D120,D1,D,Forschungsvorhaben - methodische Untersuchungen zur Datenverarbeitung im Rahmen der Erdbeobachtung,Erdbeobachtung,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D12013,D120,D1,D,Forschungsvorhaben - Pilot- und Demonstrationsvorhaben,Erdbeobachtung,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D12021,D120,D1,D,"Geräteentwicklung und -nutzung - Land-, Ozean- und Meeresbeobachtung",Erdbeobachtung,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D12022,D120,D1,D,Geräteentwicklung und -nutzung - Physik der festen Erde,Erdbeobachtung,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D12023,D120,D1,D,"Geräteentwicklung und -nutzung - Spurengaskonzentrationen in der Atmosphäre, Strahlungsbilanz",Erdbeobachtung,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D12050,D120,D1,D,Startvorbereitungen und -gebühren im Rahmen der Erdbeobachtung,Erdbeobachtung,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D12060,D120,D1,D,Übergreifendes und Sonstiges im Rahmen der Erdbeobachtung,Erdbeobachtung,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D12080,D120,D1,D,Studien im Rahmen der Erdbeobachtung,Erdbeobachtung,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D12091,D120,D1,D,"Projektbegleiter und externe Einzelgutachter (PB,RE)",Erdbeobachtung,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D12092,D120,D1,D,Beratungsgremien (SK),Erdbeobachtung,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
D13010,D130,D1,D,Forschung unter Weltraumbedingungen - Materialwissenschaften,Forschung unter Weltraumbedingungen,Nationale Förderung von Weltraumforschung und Weltraumtechnik,Weltraumforschung und Weltraumtechnik,090289235
